month,threshold,confederation,fitted,fitted_pct,is_forecast
1992-01,5,UEFA,0.4,40.0,False
1992-02,5,UEFA,0.636,63.6,False
1992-03,5,UEFA,0.85076,85.076,False
1992-04,5,UEFA,0.8208116,82.08116,False
1992-05,5,UEFA,0.808532756,80.85327559999999,False
1992-06,5,UEFA,0.80349842996,80.34984299599999,False
1992-07,5,UEFA,0.3294343562836,32.94343562836,False
1992-08,5,UEFA,0.489068086076276,48.9068086076276,False
1992-09,5,UEFA,0.5545179152912731,55.45179152912731,False
1992-10,5,UEFA,0.6993523452694219,69.9352345269422,False
1992-11,5,UEFA,0.640734461560463,64.0734461560463,False
1992-12,5,UEFA,0.6167011292397898,61.670112923978984,False
1993-01,5,UEFA,0.7248474629883138,72.48474629883138,False
1993-02,5,UEFA,0.6511874598252086,65.11874598252086,False
1993-03,5,UEFA,0.7389868585283356,73.89868585283355,False
1993-04,5,UEFA,0.8929846119966176,89.29846119966176,False
1993-05,5,UEFA,0.9561236909186133,95.61236909186132,False
1993-06,5,UEFA,0.7460107132766314,74.60107132766313,False
1993-07,5,UEFA,0.4238643924434189,42.38643924434189,False
1993-08,5,UEFA,0.5277844009018018,52.778440090180176,False
1993-09,5,UEFA,0.6883916043697387,68.83916043697387,False
1993-10,5,UEFA,0.7542405577915929,75.42405577915929,False
1993-11,5,UEFA,0.6632386286945531,66.32386286945531,False
1993-12,5,UEFA,0.38992783776476675,38.99278377647668,False
1994-01,5,UEFA,0.5138704134835543,51.38704134835543,False
1994-02,5,UEFA,0.6826868695282573,68.26868695282573,False
1994-03,5,UEFA,0.6339016165065855,63.39016165065855,False
1994-04,5,UEFA,0.6138996627677,61.389966276770004,False
1994-05,5,UEFA,0.605698861734757,60.569886173475695,False
1994-06,5,UEFA,0.7203365333112504,72.03365333112504,False
1994-07,5,UEFA,0.7673379786576127,76.73379786576126,False
1994-08,5,UEFA,0.7866085712496211,78.66085712496212,False
1994-09,5,UEFA,0.9125095142123447,91.25095142123448,False
1994-10,5,UEFA,0.9641289008270613,96.41289008270613,False
1994-11,5,UEFA,0.9852928493390951,98.52928493390951,False
1994-12,5,UEFA,0.875970068229029,87.5970068229029,False
1995-01,5,UEFA,0.8311477279739019,83.11477279739019,False
1995-02,5,UEFA,0.6947705684692997,69.47705684692997,False
1995-03,5,UEFA,0.756855933072413,75.68559330724129,False
1995-04,5,UEFA,0.9003109325596893,90.03109325596893,False
1995-05,5,UEFA,0.7231274823494727,72.31274823494726,False
1995-06,5,UEFA,0.7684822677632838,76.84822677632837,False
1995-07,5,UEFA,0.5510777297829463,55.10777297829463,False
1995-08,5,UEFA,0.697941869211008,69.7941869211008,False
1995-09,5,UEFA,0.8761561663765133,87.61561663765133,False
1995-10,5,UEFA,0.8312240282143705,83.12240282143705,False
1995-11,5,UEFA,0.8128018515678919,81.28018515678919,False
1995-12,5,UEFA,0.6872487591428357,68.72487591428357,False
1996-01,5,UEFA,0.28177199124856267,28.177199124856266,False
1996-02,5,UEFA,0.7055265164119107,70.55265164119106,False
1996-03,5,UEFA,0.7612658717288834,76.12658717288834,False
1996-04,5,UEFA,0.7841190074088422,78.41190074088422,False
1996-05,5,UEFA,0.9114887930376253,91.14887930376253,False
1996-06,5,UEFA,0.9637104051454264,96.37104051454264,False
1996-07,5,UEFA,0.39512126610962484,39.51212661096248,False
1996-08,5,UEFA,0.6339997191049462,63.39997191049462,False
1996-09,5,UEFA,0.731939884833028,73.1939884833028,False
1996-10,5,UEFA,0.7720953527815415,77.20953527815415,False
1996-11,5,UEFA,0.788559094640432,78.8559094640432,False
1996-12,5,UEFA,0.677309228802577,67.73092288025771,False
1997-01,5,UEFA,0.6316967838090566,63.16967838090566,False
1997-02,5,UEFA,0.7309956813617131,73.09956813617131,False
1997-03,5,UEFA,0.7717082293583024,77.17082293583024,False
1997-04,5,UEFA,0.788400374036904,78.8400374036904,False
1997-05,5,UEFA,0.6772441533551307,67.72441533551307,False
1997-06,5,UEFA,0.7496701028756037,74.96701028756037,False
1997-07,5,UEFA,0.4253647421789975,42.53647421789975,False
1997-08,5,UEFA,0.646399544293389,64.6399544293389,False
1997-09,5,UEFA,0.7370238131602895,73.70238131602895,False
1997-10,5,UEFA,0.7741797633957187,77.41797633957187,False
1997-11,5,UEFA,0.7894137029922447,78.94137029922447,False
1997-12,5,UEFA,0.5596596182268203,55.96596182268203,False
1998-01,5,UEFA,0.7014604434729963,70.14604434729964,False
1998-02,5,UEFA,0.7595987818239285,75.95987818239284,False
1998-03,5,UEFA,0.7834355005478106,78.34355005478106,False
1998-04,5,UEFA,0.7932085552246024,79.32085552246025,False
1998-05,5,UEFA,0.9152155076420869,91.5215507642087,False
1998-06,5,UEFA,0.8472383581332557,84.72383581332556,False
1998-07,5,UEFA,0.8193677268346349,81.93677268346349,False
1998-08,5,UEFA,0.9259407680022003,92.59407680022002,False
1998-09,5,UEFA,0.8516357148809022,85.16357148809021,False
1998-10,5,UEFA,0.8211706431011698,82.11706431011699,False
1998-11,5,UEFA,0.8086799636714797,80.86799636714797,False
1998-12,5,UEFA,0.44955878510530667,44.95587851053067,False
1999-01,5,UEFA,0.42031910189317573,42.03191018931757,False
1999-02,5,UEFA,0.644330831776202,64.4330831776202,False
1999-03,5,UEFA,0.6181756410282429,61.817564102824285,False
1999-04,5,UEFA,0.8434520128215796,84.34520128215796,False
1999-05,5,UEFA,0.8178153252568476,81.78153252568477,False
1999-06,5,UEFA,0.8073042833553075,80.73042833553075,False
1999-07,5,UEFA,0.4489947561756761,44.89947561756761,False
1999-08,5,UEFA,0.5380878500320272,53.80878500320272,False
1999-09,5,UEFA,0.6926160185131311,69.26160185131312,False
1999-10,5,UEFA,0.7559725675903838,75.59725675903837,False
1999-11,5,UEFA,0.6639487527120573,66.39487527120573,False
1999-12,5,UEFA,0.5082189886119435,50.82189886119435,False
2000-01,5,UEFA,0.4443697853308968,44.436978533089686,False
2000-02,5,UEFA,0.5361916119856677,53.619161198566765,False
2000-03,5,UEFA,0.5738385609141238,57.383856091412376,False
2000-04,5,UEFA,0.5892738099747907,58.92738099747908,False
2000-05,5,UEFA,0.7136022620896642,71.36022620896641,False
2000-06,5,UEFA,0.6465769274567623,64.65769274567623,False
2000-07,5,UEFA,0.5010965402572726,50.10965402572726,False
2000-08,5,UEFA,0.5594495815054817,55.944958150548175,False
2000-09,5,UEFA,0.5833743284172475,58.33743284172475,False
2000-10,5,UEFA,0.5931834746510715,59.318347465107145,False
2000-11,5,UEFA,0.5972052246069393,59.72052246069393,False
2000-12,5,UEFA,0.36285414208884514,36.28541420888452,False
2001-01,5,UEFA,0.2667701982564265,26.67701982564265,False
2001-02,5,UEFA,0.5813757812851349,58.13757812851349,False
2001-03,5,UEFA,0.7103640703269053,71.03640703269053,False
2001-04,5,UEFA,0.7632492688340311,76.32492688340311,False
2001-05,5,UEFA,0.6669322002219528,66.69322002219528,False
2001-06,5,UEFA,0.7454422020910006,74.54422020910006,False
2001-07,5,UEFA,0.30563130285731027,30.563130285731027,False
2001-08,5,UEFA,0.5973088341714972,59.73088341714971,False
2001-09,5,UEFA,0.7168966220103138,71.68966220103138,False
2001-10,5,UEFA,0.7659276150242287,76.59276150242287,False
2001-11,5,UEFA,0.7860303221599337,78.60303221599338,False
