team,confederation,elo_pre_wc,continental_champion,elo_z
Algeria,CAF,1937.5424751653584,0,0.8165207481553866
Argentina,CONMEBOL,2210.668753391903,1,2.5234611373180353
Australia,AFC,1892.5587616499815,0,0.5353888191718652
Austria,UEFA,1927.857340933617,0,0.7559921644469063
Belgium,UEFA,1984.7661329546477,0,1.111651518171126
Bosnia and Herzegovina,UEFA,1676.0600307507905,0,-0.8176498938140785
Brazil,CONMEBOL,2085.908853242424,0,1.7437569144368987
Canada,CONCACAF,1923.5142242606241,0,0.728849257099748
Cape Verde,CAF,1668.8195914144956,0,-0.8629000192090163
Colombia,CONCACAF,2065.058450335799,0,1.613449442439965
Croatia,UEFA,1989.267143854211,0,1.139781207289335
Curaçao,CONCACAF,1563.63771945142,0,-1.5202486515972524
Czech Republic,UEFA,1837.1339889397277,0,0.1890040490443259
DR Congo,CAF,1773.223693000064,0,-0.21041217018985547
Ecuador,CONMEBOL,2064.9216997306553,0,1.6125948006505406
Egypt,CAF,1857.4722252487036,0,0.3161106651690836
England,UEFA,2078.7099288480167,0,1.6987662424036882
France,UEFA,2143.416752094518,0,2.1031604690267605
Germany,UEFA,2049.607311075928,0,1.5168854141359052
Ghana,CAF,1617.3544118088546,0,-1.1845387654870763
Haiti,CONCACAF,1682.9668626588534,0,-0.7744846941065238
Iran,AFC,1897.897789577318,0,0.5687558114188684
Iraq,AFC,1760.1546365380495,0,-0.2920890431297642
Ivory Coast,CAF,1869.8104593069245,0,0.39322016258423415
Japan,AFC,2019.9844767175177,0,1.3317534204801909
Jordan,AFC,1762.1466296313326,0,-0.2796398072380875
Mexico,CONCACAF,2013.5927244972036,1,1.2918072824036315
Morocco,CAF,2025.5135084964852,1,1.36630786803377
Netherlands,UEFA,2015.645040498829,0,1.3046335146404053
New Zealand,OFC,1678.1815273691316,1,-0.8043913077606533
Norway,UEFA,2000.3341133421434,0,1.208945761235746
Panama,CONCACAF,1852.3121810733162,0,0.2838622565940343
Paraguay,CONMEBOL,1949.1682747322088,0,0.8891777878434777
Portugal,UEFA,2078.6110927641507,0,1.6981485526502416
Qatar,AFC,1545.7426389204213,1,-1.632086428335614
Saudi Arabia,AFC,1691.9959199933714,0,-0.7180563535586013
Scotland,UEFA,1848.5729316070574,0,0.2604933007375864
Senegal,CAF,1942.8001673325928,0,0.8493794213387575
South Africa,CAF,1665.0520606167504,0,-0.8864457231516857
South Korea,AFC,1891.4065443841923,0,0.5281878782706941
Spain,UEFA,2264.6012475762277,1,2.860519706743364
Sweden,UEFA,1805.7283076440883,0,-0.007270092721820723
Switzerland,UEFA,1982.8574755423363,0,1.099723100124706
Tunisia,CAF,1729.5311648818688,0,-0.4834746577462938
Turkey,UEFA,2036.5568614588306,0,1.4353248272425458
United States,CONCACAF,1836.093691200237,0,0.18250256467664958
Uruguay,CONMEBOL,1976.4125728123774,0,1.059444790599079
Uzbekistan,AFC,1813.1685324237385,0,0.039228619387819734
